url_length,num_dots,num_slashes,num_digits,has_https,has_suspicious_word
52,2,3,0,1,0
86,4,8,11,0,0
55,1,5,10,0,0
66,5,4,5,0,0
41,2,3,0,0,0
62,3,3,26,1,0
22,1,2,0,1,0
37,2,4,4,0,0
46,2,3,0,1,0
72,2,4,14,1,0
26,1,3,1,0,1
43,2,5,3,1,0
62,3,3,20,1,0
38,2,3,0,0,1
39,2,5,10,0,0
26,1,3,3,0,1
62,3,3,24,1,0
35,2,3,1,1,0
48,1,5,0,1,0
38,1,3,2,1,0
117,7,6,13,1,0
45,2,3,0,1,0
31,1,3,0,0,1
46,2,4,0,0,0
41,1,3,3,0,0
18,1,3,0,0,0
62,3,3,17,1,0
40,2,3,0,1,0
47,3,4,4,1,0
30,2,3,0,1,0
30,2,3,2,1,0
21,1,2,0,1,0
33,2,3,3,0,0
27,1,3,0,1,0
32,2,3,0,1,0
35,2,4,0,0,0
87,4,8,11,0,0
37,2,3,3,1,0
24,3,2,0,1,0
81,3,7,0,1,0
56,2,3,4,0,0
32,2,4,3,0,0
25,3,2,1,1,0
20,1,3,0,0,0
25,1,2,0,1,0
77,3,3,4,1,0
30,2,3,0,0,0
40,3,3,0,0,0
39,3,3,1,1,0
44,2,3,0,0,1
45,2,4,0,1,0
36,2,3,1,0,0
34,2,3,0,1,0
48,3,4,2,1,0
38,4,4,1,1,1
31,2,3,5,1,0
20,2,2,0,1,0
46,2,5,0,0,0
33,2,3,0,1,0
90,2,5,10,1,0
37,2,3,1,0,0
42,2,5,2,1,0
17,1,2,0,1,0
46,3,3,4,1,0
27,2,3,3,1,0
55,2,3,4,0,0
29,2,3,3,1,0
28,2,3,2,0,0
43,2,3,0,0,0
27,2,3,0,0,0
29,1,2,0,1,0
37,2,3,0,0,0
59,4,4,4,1,0
31,3,3,6,0,0
29,1,3,0,0,0
38,2,3,6,0,0
39,2,4,10,1,0
25,2,3,2,0,0
31,2,3,2,1,0
14,1,2,1,1,0
48,2,3,0,0,0
48,2,3,4,1,0
26,1,3,2,0,1
41,2,3,6,0,0
20,1,2,1,1,0
28,2,3,0,1,0
96,2,6,27,0,0
23,1,3,0,1,0
36,3,3,0,1,0
82,3,3,13,0,0
32,1,3,0,1,1
20,1,2,0,1,0
77,3,8,10,0,0
24,2,3,1,0,0
44,1,5,0,1,0
39,3,3,0,1,1
31,1,4,0,1,0
17,2,2,0,1,0
31,2,3,1,0,0
39,2,4,2,0,0
62,3,3,23,1,0
29,1,3,0,0,1
36,2,4,0,0,0
35,2,3,0,1,1
39,2,2,0,1,1
44,3,3,4,1,0
47,4,6,1,1,0
42,2,3,0,0,0
122,3,5,34,1,0
62,3,3,18,1,0
29,1,3,15,1,0
37,2,3,1,1,0
18,1,3,3,1,0
24,2,3,0,0,0
38,2,4,3,0,0
43,2,4,1,1,0
48,6,3,1,1,0
58,2,5,19,1,0
23,2,2,0,1,0
62,2,6,15,1,0
70,2,6,10,0,0
32,1,3,0,1,0
58,4,4,4,1,0
111,4,5,13,0,0
46,2,3,0,0,0
54,2,3,0,0,0
39,3,5,3,0,0
48,4,6,1,1,0
57,4,4,4,1,0
26,1,2,0,1,0
16,1,2,0,1,0
24,1,3,0,1,0
116,1,5,29,0,0
18,1,2,0,1,0
22,1,3,10,0,0
48,3,3,4,1,0
26,1,3,6,0,1
46,2,4,1,0,0
43,2,3,2,0,0
21,2,2,0,1,0
23,1,2,0,1,0
48,2,5,13,0,0
47,2,3,0,1,0
42,3,3,0,1,0
21,2,2,1,1,0
63,3,3,22,0,0
123,3,6,34,1,0
30,1,2,0,1,0
47,2,3,0,0,0
25,3,2,0,1,0
23,1,3,11,0,0
29,2,3,0,1,0
83,2,6,22,1,0
25,1,3,0,1,0
24,2,2,1,1,0
39,2,3,3,1,0
28,1,4,0,1,1
55,2,4,0,0,0
57,4,4,4,0,0
47,1,5,0,1,0
27,1,4,0,0,0
161,1,5,38,0,0
38,2,3,6,1,0
33,1,3,0,0,1
90,2,4,7,0,0
52,2,3,0,1,1
33,2,3,0,0,1
22,3,2,0,1,0
26,2,3,8,1,0
22,1,3,1,1,0
27,2,2,0,1,0
39,3,4,0,1,0
22,1,3,0,1,0
100,2,4,30,1,0
61,3,3,22,0,0
57,2,3,0,0,0
26,1,3,0,1,0
35,2,3,4,1,0
88,2,4,31,1,0
89,3,3,22,0,0
22,1,3,2,0,0
37,2,4,0,0,1
52,2,3,6,1,0
46,2,5,2,0,0
24,1,2,0,1,0
46,2,3,2,1,0
44,3,3,0,0,1
37,1,4,0,0,0
37,2,3,0,1,0
80,3,3,27,1,0
44,3,3,4,0,0
34,2,3,0,0,0
36,2,3,0,1,0
42,2,3,0,1,0
51,1,5,0,1,0
30,1,3,0,0,1
32,1,4,0,1,0
26,2,3,0,0,0
35,2,3,0,0,0
16,2,2,0,1,0
24,2,4,1,0,0
21,1,2,3,1,0
35,2,3,6,1,0
26,2,2,0,1,0
42,2,3,0,0,1
28,2,3,3,0,0
25,2,3,0,0,0
43,2,4,0,1,0
51,6,3,0,0,0
24,3,3,1,0,0
41,2,3,6,1,0
17,2,2,1,1,0
48,2,3,3,1,0
72,3,4,3,1,0
18,2,2,0,1,0
28,1,2,0,1,0
52,2,6,2,0,0
24,2,2,0,1,0
34,3,3,6,0,0
19,1,3,0,1,0
25,2,4,1,0,0
28,1,4,0,1,0
44,2,4,1,1,0
46,6,3,1,0,0
68,3,3,26,1,0
35,2,3,2,1,0
43,2,4,4,1,0
29,1,4,0,1,0
30,2,3,3,1,0
62,3,3,22,1,0
42,2,4,0,1,0
81,3,5,19,1,0
77,3,7,0,1,0
19,1,2,0,1,0
21,1,3,0,1,0
44,2,5,2,1,0
75,3,4,2,1,0
45,3,3,0,1,0
62,3,3,21,1,0
15,1,3,2,0,0
26,1,3,4,0,1
63,2,3,20,1,0
42,3,3,0,0,0
19,2,2,0,1,0
56,1,5,10,0,0
77,3,5,2,1,0
54,5,3,5,0,0
31,2,3,8,0,0
30,2,3,1,0,0
22,2,2,0,1,0
43,2,5,0,1,0
62,3,3,19,1,0
45,2,5,3,1,0
107,7,6,17,1,0
64,3,3,23,0,0
38,2,3,1,1,0
36,2,3,0,0,0
56,2,4,4,1,1
51,1,4,9,1,0
28,2,3,0,0,0
14,1,2,0,1,0
41,3,3,0,0,0
42,2,5,3,0,0
52,3,4,4,1,0
35,2,4,4,0,0
46,2,3,4,0,0
24,1,3,0,0,0
20,1,3,2,1,0
32,2,3,0,0,0
49,4,6,0,0,0
46,3,3,4,0,0
31,3,3,0,0,0
51,2,4,0,1,0
58,3,3,22,0,0
35,1,3,4,0,0
59,6,3,1,1,0
36,2,3,0,1,1
71,3,3,27,0,0
39,2,3,0,1,0
41,2,4,0,1,0
49,3,4,4,1,0
12,1,2,0,1,0
39,3,3,0,1,0
62,3,4,0,0,0
50,3,3,4,0,0
54,2,3,4,1,0
22,2,3,0,0,0
161,1,5,37,0,0
43,3,3,0,1,0
63,2,4,2,1,0
171,2,12,62,0,0
27,2,3,0,1,0
41,3,3,1,1,0
39,2,3,0,0,0
24,1,3,1,1,0
25,2,3,0,1,0
61,2,3,2,0,0
32,2,3,6,1,0
56,1,5,27,1,0
32,1,3,0,0,0
50,1,5,0,1,0
39,2,4,0,1,0
