url_length,num_dots,num_slashes,num_digits,has_https,has_suspicious_word
44,2,3,0,0,0
69,3,3,25,1,0
48,3,4,4,1,0
37,2,3,6,1,0
15,1,2,3,1,0
21,1,3,3,0,0
38,2,3,0,1,0
22,1,3,0,0,0
28,2,2,0,1,0
27,2,3,1,1,0
39,2,3,2,1,0
23,3,2,0,1,0
89,4,8,10,0,0
33,2,3,0,0,0
23,1,3,0,0,0
83,3,3,3,1,0
23,2,3,4,1,0
25,2,2,0,1,0
80,3,3,20,1,1
38,2,4,5,0,0
59,2,3,20,1,0
25,1,3,3,1,0
83,3,3,6,1,0
36,2,3,4,1,0
36,1,4,6,1,0
31,2,4,0,1,0
29,2,4,0,1,0
39,2,3,1,0,0
15,1,2,0,1,0
18,1,3,0,1,0
60,1,3,5,1,0
38,2,3,0,0,0
61,3,3,23,0,0
53,2,3,1,0,0
31,1,3,0,1,0
62,3,3,27,1,0
31,2,3,0,0,0
62,3,3,25,1,0
35,2,3,0,1,0
31,2,3,0,1,0
76,3,4,2,1,0
33,3,3,0,0,0
68,1,5,10,1,0
85,2,3,18,0,0
23,1,4,3,1,0
26,1,3,1,1,0
40,2,3,0,0,0
32,1,4,2,0,0
50,3,4,4,1,0
41,2,3,1,0,0
48,6,3,2,1,0
45,2,3,0,0,0
27,1,2,0,1,0
37,1,3,3,1,0
41,2,5,2,0,0
43,3,6,0,1,0
21,1,2,1,1,0
48,3,3,4,0,0
73,3,4,3,1,0
20,1,3,4,0,0
27,1,3,0,0,0
46,6,3,1,1,0
41,2,3,0,1,0
31,4,2,0,1,0
49,3,3,0,1,1
34,2,3,0,0,1
13,1,2,0,1,0
25,3,3,0,0,0
26,1,3,0,0,0
48,3,3,0,1,0
34,3,3,0,1,1
33,3,3,1,0,0
47,2,5,2,1,0
92,3,7,0,1,0
66,2,6,0,0,0
55,4,4,4,1,0
