url_length,num_dots,num_slashes,num_digits,has_https,has_suspicious_word,Label
15,1,2,0,1,0,legitimate
15,1,2,0,1,0,legitimate
71,3,3,27,0,0,phishing
28,2,3,2,0,0,phishing
20,1,3,2,1,0,phishing
40,2,3,0,1,0,phishing
19,1,2,0,1,0,legitimate
30,2,3,0,0,0,phishing
26,2,2,0,1,0,legitimate
63,2,4,2,1,0,phishing
24,1,3,0,0,0,phishing
14,1,2,0,1,0,legitimate
42,2,3,0,1,0,phishing
15,1,2,0,1,0,legitimate
37,2,3,3,1,0,phishing
19,1,2,0,1,0,legitimate
17,1,2,0,1,0,legitimate
37,2,4,0,0,1,phishing
25,3,3,0,0,0,phishing
39,2,3,0,1,0,phishing
30,1,2,0,1,0,legitimate
19,1,2,0,1,0,legitimate
19,1,2,0,1,0,legitimate
18,1,2,0,1,0,legitimate
20,1,2,0,1,0,legitimate
32,2,3,0,1,0,phishing
15,1,2,0,1,0,legitimate
15,1,2,0,1,0,legitimate
23,2,2,0,1,0,legitimate
21,1,2,0,1,0,legitimate
22,1,2,0,1,0,legitimate
37,2,3,6,1,0,phishing
21,1,2,0,1,0,legitimate
18,1,2,0,1,0,legitimate
43,2,3,2,0,0,phishing
88,2,4,31,1,0,phishing
35,2,4,4,0,0,phishing
63,3,3,22,0,0,phishing
18,1,2,0,1,0,legitimate
33,3,3,1,0,0,phishing
22,1,2,0,1,0,legitimate
40,2,3,0,1,0,phishing
23,1,2,0,1,0,legitimate
54,2,3,0,0,0,phishing
23,2,2,0,1,0,legitimate
47,2,5,2,1,0,phishing
38,4,4,1,1,1,phishing
29,2,3,0,1,0,phishing
48,1,5,0,1,0,phishing
57,4,4,4,1,0,phishing
38,2,3,0,1,0,phishing
45,3,3,0,1,0,phishing
25,2,2,0,1,0,legitimate
17,1,2,0,1,0,legitimate
27,1,3,0,1,0,phishing
36,2,3,0,0,0,phishing
53,2,3,1,0,0,phishing
58,4,4,4,1,0,phishing
40,2,3,0,1,0,phishing
62,3,3,19,1,0,phishing
51,6,3,0,0,0,phishing
52,2,3,0,1,0,phishing
76,3,4,2,1,0,phishing
20,1,3,2,1,0,phishing
29,2,3,0,1,0,phishing
46,6,3,1,0,0,phishing
61,3,3,22,0,0,phishing
18,1,2,0,1,0,legitimate
21,1,2,0,1,0,legitimate
32,2,3,0,0,0,phishing
36,2,3,0,0,0,phishing
32,2,3,0,1,0,phishing
41,2,5,2,0,0,phishing
52,2,6,2,0,0,phishing
48,2,5,13,0,0,phishing
17,1,2,0,1,0,legitimate
30,2,3,1,0,0,phishing
30,2,3,0,1,0,phishing
62,3,3,17,1,0,phishing
63,3,3,22,0,0,phishing
17,1,2,0,1,0,legitimate
38,2,3,6,0,0,phishing
36,2,4,0,0,0,phishing
39,2,3,0,0,0,phishing
68,3,3,26,1,0,phishing
34,2,3,0,0,0,phishing
37,2,3,0,1,0,phishing
71,3,3,27,0,0,phishing
62,3,3,27,1,0,phishing
39,2,4,2,0,0,phishing
24,1,2,0,1,0,legitimate
23,1,3,0,0,0,phishing
44,3,3,0,0,1,phishing
16,1,2,0,1,0,legitimate
18,1,2,0,1,0,legitimate
32,2,3,0,1,0,phishing
